Intent,Response,Relevance,Intent (Roman Urdu),Response (Roman Urdu),,Index
,,,"Haan, mujhe pads ke bare mein kuch pata nahi hai. Kaunse pads behtar hote hain aur kitne ghante tak pehne ja sakte hain?","Pads ke liye cotton ke pads istemaal karna behtar hota hai. Inhe har 4-6 ghante mein change karna chahiye taaki infection na ho. Agar aapko heavy flow hai to aap thick pads use kar sakte hain. Aur yaad rakhiye ki pads ko flush nahi karna chahiye, balki trash mein dispose karna chahiye.",,
,,,Mera periods bahut dardnak hota hai. Kya main kuch ghar par hi istemaal kar sakti hoon?,"Haan, aap ghar par hi kuch cheezein istemaal kar sakti hain. Jaise ki, aap garm paani ki bottle se apne pet par thanda paani lagayein. Isse aapko thoda rahat milega. Aap halki exercise kar sakti hain jaise ki walking, yoga, ya stretching. Isse aapko dard se rahat milegi.",,
,,,Mujhe pichle kuch mahine se periods ki date mein hamesha deri ho rahi hai. Kya yeh normal hai?,"Kabhi-kabhi periods mein deri hona normal hai, lekin agar yeh aapke saath lagatar ho raha hai toh aapko ek doctor se consult karna chahiye. Deri ke kai reasons ho sakte hain jaise ki thyroid problems, PCOS ya phir pregnancy. Isliye, ek doctor se consult karna behtar hoga.",,
,,,Mujhe periods ke dauran bahut kamzori mehsoos hoti hai. Kya main kuch aisa khaana kha sakti hoon jisse mujhe thoda energy mil jaaye?,"Haan, aap periods ke dauran protein aur iron rich diet ka sevan kar sakti hain. Jaise ki, spinach, lentils, eggs, meat, nuts, aur dairy products. In sab cheezon mein protein aur iron ki acchi matra hoti hai. Iske alawa, aap carbohydrate bhi le sakti hain, jaise ki brown rice, whole wheat bread ya phir fruits aur vegetables.",,
,,,"Mujhe tampons use karna hai, lekin main kaise use karu?","Tampons use karna thoda tricky ho sakta hai, lekin ek baar aap iske istemaal ko samajh jaayenge toh aapko comfortable feel hoga. Sabse pehle, haath ko dhoye aur tampon ke saath diye gaye instructions ko follow karein. Tampon ko applicator ki madad se vagina ke andar insert karein. Aapko tampon ke dhaage ko bahar nikalna hai taaki",,
,,,Main apne periods ke dauran swimming karna chahti hoon. Kya main swimming kar sakti hoon?,"Haan, aap swimming kar sakti hain. Lekin aapko tampon use karna hoga. Pads use karne se swimming uncomfortable ho sakta hai. Tampon aapko comfortable feel karwayega aur aap swimming enjoy kar sakte hain. Swimming ke baad tampon ko jarur change karein.",,
,,,Mujhe periods ke dauran jyada khoon nikalta hai. Kya yeh normal hai?,"Agar aapke periods mein jyada khoon nikalta hai, toh aapko ek doctor se consult karna chahiye. Heavy bleeding ke kai reasons ho sakte hain jaise ki fibroids, endometriosis, ya hormonal imbalances. Isliye, ek doctor se consult karna behtar hoga.",,
,,,Mere periods ke dauran itching aur irritation hoti hai. Kya main kuch ghar par hi kar sakti hoon?,"Agar aapko periods ke dauran itching aur irritation ho rahi hai, toh aap cotton ke underwear istemaal karein aur har roz nahayein. Aap neem ke patte aur aloe vera ka istemaal kar sakti hain. Isse aapko itching aur irritation se thoda rahat milega. Lekin agar itching aur irritation zyada ho rahi hai, toh aapko ek doctor se consult karna chahiye.",,
,,,Mere periods ke baad mujhe acne ho jaata hai. Kya main isse kaise rok sakti hoon?,"Periods ke baad acne hone ki wajah hormones ho sakte hain. Aap apne diet par dhyan rakhein aur junk food, oily food, aur processed food se door rahein. Apne chehre ko har roz saaf rakhein aur non-comedogenic skincare products ka istemaal karein. Iske alawa, aap ek dermatologist se consult kar sakti hain, jo aapko acne ke liye sahi treatment suggest karenge.",,
,,,Mujhe periods ke dauran bahut stress hota hai. Kya main kuch kar sakti hoon?,"Stress ke liye aap yoga aur meditation ka istemaal kar sakti hain. Isse aapka stress level kam hoga. Aap apne diet par bhi dhyan rakhein aur stress-relieving khanay jaise ki badaam aur dark chocolate ka istemal karein. Iske alawa, aap apne friends aur family ke saath time spend karein aur apne hobbies ko pursue karein. Isse aapka stress level kam hoga.",,
,,,Mere periods mein kabhi kabhi back pain hota hai. Kya yeh normal hai?,"Haan, periods ke dauran back pain hona normal hai. Lekin agar aapko bahut zyada pain ho rahi hai, toh aap ek doctor se consult karna chahiye. Aap garam paani ki bottle ya heating pad ka istemaal kar sakte hain, jisse aapko thoda rahat milega.",,
,,,"Main garam paani ki bottle ka istemaal karti hoon, lekin phir bhi dard zyada hota hai.","Agar garam paani ki bottle ka istemaal karne se bhi dard zyada ho raha hai, toh aapko ek doctor se consult karna chahiye. Aap doctor se pain relief medicine bhi le sakti hain, jo aapke dard ko kam kar degi.",,
,,,Mujhe ek aur baat pochni hai,Jee poochein,,
,,,Mujhe pads use karte waqt irritation hoti hai. Kya main kuch aur use kar sakti hoon?,"Agar pads use karne se aapko irritation ho rahi hai, toh aap cloth pads ya menstrual cups ka istemaal kar sakti hain. Cloth pads aur menstrual cups aapko comfortable feel karwayenge aur irritation se bachayenge.",,
,,,"Main menstrual cups use karna chahti hoon, lekin kaise use karna hai, mujhe nahi pata.","Menstrual cups ko use karna thoda sa tricky ho sakta hai, lekin iske liye aap online tutorials dekh sakti hain. Cup ko fold karna hota hai aur usse vagina mein insert karna hota hai. Cup ko 6-12 ghante tak use kiya jaa sakta hai. Iske alawa, aap cup ko sanitize karna bhi bhoolna nahi chahiye.",,
,,,Mujhe periods ke dauran kabhi kabhi mood swings ho jaate hain. Kya main isse kaise rok sakti hoon?,"Mood swings ke liye aap exercise kar sakti hain. Exercise aapke endorphins release karwayega, jo aapko positive feel karwayenge. Aap apne friends aur family ke saath time spend karein aur apne hobbies ko pursue karein. Isse aapka mood bhi achha hoga. Agar mood swings bahut zyada ho rahe hain, toh aap ek doctor se consult karna chahiye.",,
,,,"Main ek doctor se consult karna chahti hoon, lekin kya wo mujhe medicine prescribe karega?","Haan, doctor aapko medicine prescribe kar sakte hain, agar aapke mood swings bahut zyada hai. Lekin medicine ke istemaal se pehle, aapko doctor se baat karni chahiye aur unse medicine ke side effects aur risks ke baare mein jaankari leni chahiye.",,
,,,Kya aap ek aur sawal ka jawab deingi,Jee bilkul,,
,,,Main suna hai ki periods ke dauran nahana chahiye nahi. Kya yeh sach hai?,"Yeh sach nahin. Nahana safe aur healthy hai, aur aapko clean aur fresh feel karwayega.",,
,,,"Achha, main yeh nahi jaanti thi. Lekin maine suna hai ki periods ke dauran workout nahi karna chahiye. Kya yeh sach hai?"," Aap periods ke dauran bhi workout aur kasrat kar sakti hain. Lekin aapko comfortable feel karwaye wale kapde pehne chahiye aur high-intensity workout avoid karein. Agar aapko heavy bleeding ya severe cramps ho rahe hain, toh aapko rest lena chahiye.",,
,,,Apka bohat shukriya Mai.,Main apke liye hazir hon. Agar aur sawal bhi hon toh billa jhijhak pochlein,,
,,,Theek hai. Allah Hafiz,Allah Hafiz,,
,,,"Salam, Mai. Mujhe suna hai ki periods ke dauran kuch khane peene se mana karna chahiye. Kya yeh sach hai?","Aap periods ke dauran kuch bhi kha sakti hain, lekin aapko bazaari khanay aur caffeine avoid karna chahiye. Aap protein aur iron-rich kahan khayein, jaise ki chicken, machli, lobia, palak, aur daal.",,
,,,"Achha, lekin maine suna hai ki periods ke dauran kheera aur dahi nahi khana chahiye. Kya yeh sach hai?","Kheera aur dahi periods ke dauran khane mein safe aur healthy hai. Kheera aapko hydrate karne mein help karega aur dahi aapko probiotics provide karwayega, jo aapke stomach health ke liye beneficial hai.",,
,,,Maine suna hai ki periods ke dauran koi bhi medicines nahi leni chahiye. Kya yeh sach hai?,"Aap periods ke dauran mild pain relief medicines, jaise ki ibuprofen, paracetamol ya aspirin ka istemaal kar sakti hain. Lekin aapko doctor se consult karna chahiye, kyunki aapke health condition aur allergies ko dhyaan mein rakhte hue aapko medicines leni chahiye.",,
,,,Lekin maine suna hai ki periods ke dauran multivitamins aur iron supplements lena chahiye. Kya yeh sach hai?,"Haan, yeh sach hai. Periods ke dauran aapki body mein iron ki kami ho jaati hai, isliye aap iron supplements ka istemaal kar sakti hain. Multivitamins bhi aapki body ko essential nutrients provide karwate hain, jisse aapki overall health improve hoti hai. Lekin aapko doctor se consult karna chahiye, kyunki aapke health condition aur allergies ko dhyaan mein rakhte hue aapko supplements lena chahiye.",,
,,,Hello Mai. Main yeh jaanna chahti hoon ki periods ke kitne din baad pregnancy ka chance hota hai?,"Hi. Periods ke saath ovulation hota hai, jo ki usually 14th day se shuru hota hai. Agar aapki periods ki cycle 28 din ki hai, toh aapke ovulation day 14th day hoga. Is din intercourse karne se pregnancy ka chance zyada hota hai. Lekin yeh ek general guideline hai, aur har woman ki periods ki cycle alag hoti hai. Isliye aap ek doctor se consult kar sakti hain.",,
,,,Main yeh nahi jaanti ki periods ke dauran kya kya foods khana chahiye?,"Periods ke dauran aapko iron aur calcium jaise nutrients ki zarurat hoti hai. Aap palak, badam, aur dairy products jaise doodh, dahi, cheese ka istemaal kar sakti hain. Iske alawa, aap fruits aur vegetables bhi khayein, aur bazaari kahan aur processed food se bacheyin.",,
,,,Main yeh jaanna chahti hoon ki periods ke dauran baal kaise saaf rakhe jaayein?,"Aapko periods ke dauran apne baalo ko regularly shampoo karne ki zarurat hai, taaki scalp clean rahe. Agar aapko heavy bleeding hai, toh aap apne baalo ko ziyada baar shampoo kar sakti hain. Lekin aapko hair dryer ka istemaal avoid karna chahiye, kyunki yeh aapke scalp ko dry kar dega aur dandruff ka problem ho sakta hai.",,
,,,Shukria Mai,Koi masla nahin. ,,
,,,Bye,Bye. Apna khayal rakhein,,
,,,"Mai, main periods ke dauran severe abdominal pain ka samna kar rahi hoon, main kya karoon?","Agar aapko severe abdominal pain ho raha hai, toh aapko immediately apne doctor se consult karna chahiye. Iske alawa, aap painkiller le sakti hain, lekin isse pehle apne doctor se consult zaroor karein.",,
,,,"Mujhe periods ke dauran dizziness aur weakness ho rahi hai, main kya karoon?","Agar aapko periods ke dauran dizziness aur weakness ho rahi hai, toh aapko immediately apne doctor se consult karna chahiye. Iske alawa, aapko apne aahar mein iron aur calcium jaise nutrients ka zyada se zyada istemaal karna chahiye.",,
,,,"Mujhe periods ke dauran high fever ho gaya hai, main kya karoon?","Agar aapko periods ke dauran high fever ho gaya hai, toh aapko immediately apne doctor se consult karna chahiye. Aapko apne doctor ke pass jaana chahiye, taaki unhe aapke condition ka pata chale aur sahi treatment diya ja sake.",,
,,,Assalaulaikum Mai,Walaikum Asallam. Ajj main apki kaise madad kar sakti hon?,,
,,,"Mujhe pochna tha, kya main mahwari ke doran roza rakhsakti hon","Jee nahin. periods ke doran, Islam rozay rakhne ki ijazat nahin deta.",,
,,,Ek aur sawal hai,Jee bolein,,
,,,Kya hum periods ke dauran namaz padh sakte hain?,"Nahin, periods ke dauran namaz padhna mana hai. Magar aap dhikr, tasbeeh aur dua parh sakti hain.",,
,,,Kya hum periods ke dauran Quran sharif ko chhu sakte hain?,"Nahin, periods ke dauran Quran sharif ko chhuna mana hai.",,
,,,mujhe mahvari kyun hota hai ,"jism har mah aik anda peda karta hai. bacha daani/uterus ki parat aik anday ke liye tayyar karne ke liye mouti ho jati hai jo aurat ke haamla honay ki soorat mein khad daali jati hai. agar anday ko fertilise nah kya jaye to jism is se nijaat paata hai. is ke baad Aster ko jism se khoon ke tor par andaam nihani/vagina ke zariye kharij kya jata hai. is mahana amal ko haiz ya muddat kaha jata hai. lehaza jab kisi larki ko mahvari hoti hai, to is ke jism se khoon ki thori si miqdaar aur kuch ghair zaroori tissues nikaltay hain. yeh tamam khawateen ke liye aik fitri, normal jismani amal hai kyunkay woh aurat ban jati hain aur jismani tor par baaligh hoti hain .",,
,,,kitne arsay tak khoon bahay ga?,"aap ka mahvari 3 se 8 din ke darmiyan reh sakta hai, lekin yeh aam tor par taqreeban 5 din tak jari rahay ga. khoon behna pehlay 2 dinon mein sab se ziyada hoga .",,
,,,kya ye bas aik baar mai khatam hojaega,mahvari har 21 se 35 din baad hoti hai. 12 saal ki umar se shuru hota hai aur 50 saal ki umar tak hota hai .,,
,,,lekin mujhe do aik pichle mahine do baar haiz huwa tha,"haan, yeh mumkin hai. kyun? kuch mahino mein, aap ka mahvari pichlle mahinay ki nisbat ziyada ya kam dinon tak jari reh sakta hai. ya aap ka cycle pehlay ya baad mein shuru ho sakta hai. agar aap ka aam tor par baqaida cycle hai, to aap ke cycle mein tabdeeli tibbi haalat ki nishandahi kar sakti hai. kisi bhi tashweesh ki soorat mein, barah karam infiradi tibbi mahswara haasil karne ke liye apne doctor se baat karen",,
,,,mujhe kaise pata chalega ke mujhe mahvari kab aaegi,aap clue nami app ke zariye apne mahvari ko track kar satke hain. yeh play store par dastyab hai.app ka aik fori link yeh hai : https://helloclue.com//,,
,,,kya mai kisi tareeqe se ye pata laga sakti hun ke meri agli mahvari kab aaegi,aap clue nami app ke zariye apne mahvari ko track kar satke hain. yeh play store par dastyab hai.app ka aik fori link yeh hai : https://helloclue.com//,,
,,,meri mahvari kabhi waqt se pehle aati hai,"aap ki mahvari be qaida hai agar yeh 21 din se ziyada kasrat se aati hai, ya aap mahvari ke darmiyan 35 din ya is se ziyada jatay hain .",,
,,,meri mahvari kabhi der se aati hai,"aap ki mahvari be qaida hai agar yeh 21 din se ziyada kasrat se aati hai, ya aap mahvari ke darmiyan 35 din ya is se ziyada jatay hain .",,
,,,meri mahvari ka muddat kabhi kam kabhi zyada hota hai,"aap ki mahvari be qaida hai agar yeh 21 din se ziyada kasrat se aati hai, ya aap mahvari ke darmiyan 35 din ya is se ziyada jatay hain .",,
,,,mere mahvaari ke auqaat is tarah aagay peeche kyun hota hai ,"baaz auqaat be qaida mahvari kuch adwiyaat, bohat ziyada werzish, bohat kam ya bohat ziyada jismani wazan, aur hormonal adam tawazun/imbalance ki wajah se ho sakti hai. agar aap ko lagta hai ke aap ko be qaida mahvari hai to barah karam apne dr se rujoo karen .",,
,,,kya mai isko kisi tarah theek karsakti hun?,be qaida mahvari ke liye aam tor par –apne dr se mahswara karne ki koi fori wajah nahi hoti. lekin agar aap fikar mand hain to barah karam aisa karen. agar aap ko Maney hamal ki zaroorat ho to aap ka dr aap ko hormonal Maney hamal adwiyaat tajweez karkay is mein aap ki madad karsaktha hai jo nah sirf ghair iraadi hamal ko qabil aetmaad tareeqay se roktay hain balkay aap ke mahvari ko bhi mustahkam kar saktay hain taakay aap apne mahvari ke liye behtar mansoobah bandi kar saken .,,
,,,kya be qaida haiz ka mere sehat par asar hosakta hai ,"mahvari ki be qaadgyon ki mojoodgi deegar sehat ke masail ki alamat ho sakti hai jaisay ke thyroid ki bemari, poi, endometriosis, pcos, polyps, aur uterine fibroids agar ilaaj nah kya jaye to mahvari ki be qaidgi deegar halaat ka baais ban sakti hai ya is mein hissa daal sakti hai. yeh mumkina halaat mahvari ki be qaidgi ki qisam ke lehaaz se mukhtalif hoti hain, lekin kuch mein bacha daani/uterus ki parat ka gaarha hona ( jisay endometrial hyperplasia kaha jata hai ), hadion ki kam kasafat, aur iron ki kami ka khoon ki kami shaamil hain. mahvari ki be qaidgi wali aurat ke liye yeh zaroori hai ke woh be qaidgi ki wajah ka taayun karne ke liye sehat ki dekh bhaal karne walay se baat kere aur zaroorat ke mutabiq munasib ilaaj haasil kere .",,
,,,mujhe haiz mai school jaane ki ijazat nahi milti,"aap ki mahwaari aap ko un kamon se roknay ki zaroorat nahi hai jo aap aam tor par karte hain. aap ab bhi school ja satke hain, ghar mein madad kar satke hain, –apne doston ko dekh satke hain, khail khail satke hain aur woh tamam kaam kar satke hain jo aap aam tor par karte hain .",,
,,,haiz mai kya karna chahiye,"apne haath sabun aur pani se dhowen aur,  pad pehne. istemaal shuda pad ko har chaar se aath ghantay baad naye pad se tabdeel karen .",,
,,,mai pads kahaan se khareed sakti hun,Aap unhe qareebi store ya daraz ke zariye online order karsakte hai. Uska link ye hai https://www.daraz.pk/catalog/?q=pads&_keyori=ss&from=input&spm=a2a0e.searchlist.search.go.8c6029b8wWUnZl,,
,,,pad ko kitni der mai badalna chahiye,"apni hifzaan sehat ka khayaal rakhnay ke liye, har chaar se aath ghantay baad apna pad tabdeel karna zaroori hai .",,
,,,apne neeche hisse ko mai kaise saaf rakhun?,aap ko baqaidagi se –apne labial area ko saaf pani se dhona chahiye. aap ko apni istemaal shuda muddat ki masnoaat ko bhi hifzaan sehat ke sath zaya karna chahiye .,,
,,,kya aam tor par mahvari mai dard hota hai,kuch larkiyon aur khawateen ko un ki mahvari ke douran dard ya deegar alamaat hoti hain jo takleef da hosakti hain. yeh aam tor par haiz ke douran aap ke jism se kharij honay walay harmons ki wajah se hota hai jis ki wajah se bacha daani/uterus suker jati hai taakay yeh is ke Aster ko baha sakay .,,
,,,jab mahvari ka khoon nikalta hai tou kya dard hona aik aam baat hai?,kuch larkiyon aur khawateen ko un ki mahvari ke douran dard ya deegar alamaat hoti hain jo takleef da hosakti hain. yeh aam tor par haiz ke douran aap ke jism se kharij honay walay harmons ki wajah se hota hai jis ki wajah se bacha daani/uterus suker jati hai taakay yeh is ke Aster ko baha sakay .,,
,,,mujhe uske liye kya karna chahiye,"mahvari ke dard aur dard ko kam karne ke liye aap darj zail cheeze aazma satke hain : –apne pait ya kamar ke nichale hissay par hating pad rakhna, ya garam ghusal karna. dard aap ki mahvari ka aik khobsorat mayaari hissa hai. lekin agar aap ki mahvari ka dard itna takleef da hai ke aap roz marrah ki zindagi mein hissa nahi le satke to barah karam apne doctor se rujoo karen .",,
,,,kya mai mahvari ke dard keliye kuch kar sakti hun ,"mahvari ke dard aur dard ko kam karne ke liye aap darj zail cheeze aazma satke hain : –apne pait ya kamar ke nichale hissay par hating pad rakhna, ya garam ghusal karna. dard aap ki mahvari ka aik khobsorat mayaari hissa hai. lekin agar aap ki mahvari ka dard itna takleef da hai ke aap roz marrah ki zindagi mein hissa nahi le satke to barah karam apne doctor se rujoo karen .",,
,,,haiz ke doran mujhe bohat takleef hoti hai,"dard naak mahvari ke dard bohat ziyada mahvari khoon behnay ya endometriosis ki wajah se ho saktay hain. endometriosis mein, bacha daani/uterus ke Aster walay khaliyaat ya tissue, bacha daani/uterus ke bahar barhatay hain. aap ko –apne dr se milna chahiye jo khoon ki jaanch kar sakta hai aur aap ki history haasil kar sakta hai taakay aap ko behtar honay mein madad miley .",,
,,,mere mahvari mai mujhe bohat zyada dard mehsoos hota hai,"dard naak mahvari ke dard bohat ziyada mahvari khoon behnay ya endometriosis ki wajah se ho saktay hain. endometriosis mein, bacha daani/uterus ke Aster walay khaliyaat ya tissue, bacha daani/uterus ke bahar barhatay hain. aap ko –apne dr se milna chahiye jo khoon ki jaanch kar sakta hai aur aap ki history haasil kar sakta hai taakay aap ko behtar honay mein madad miley .",,
,,,mujhe mere mahwaari ka rang kuch ajeeb lag raha hai,mahvari ka rang roshan surkh se gehra bhoora aur siyah hota hai. douran khoon ka rang is baat par munhasir hota hai ke khoon kitni der tak bacha daani/uterus aur andaam nihani/vagina mein rehta hai .,,
,,,mahvari ki zaroorat kya hai?,"jism har mah aik anda peda karta hai. bacha daani/uterus ki parat aik anday ke liye tayyar karne ke liye mouti ho jati hai jo aurat ke haamla honay ki soorat mein khad daali jati hai. agar anday ko frtilayz nah kya jaye to jism is se nijaat paata hai. is ke baad Aster ko jism se khoon ke tor par andaam nihani/vagina ke zariye kharij kya jata hai. is mahana amal ko haiz ya muddat kaha jata hai. lehaza jab kisi larki ko mahvari hoti hai, to is ke jism se khoon ki thori si miqdaar aur kuch ghair zaroori tissues nikaltay hain. yeh tamam khawateen ke liye aik fitri, normal jismani amal hai kyunkay woh aurat ban jati hain aur jismani tor par baaligh hoti hain .",,
,,,aam khoon aur mahvari ke khoon mai koyi farq hai?,"mahvari ka khoon isi khoon se bana hota hai jo aap ki ragon se beh raha hai, lekin is mein woh tissue bhi hota hai jo aap ki bacha daani/uterus ki parat se baha hota hai. is liye is ka rang aur mustaqil mizaji is se mukhtalif hai jo aap dekhen ge ke agar aap apni ungli kaat den ge .",,
,,,mahwari konse umar se shuru hota hai,"mahvari aam tor par 12 saal ki umar mein shuru hoti hai, halaank kuch larkiyan is se pehlay ya baad mein shuru karen gi. adwaar shuru honay mein takheer aam tor par tashweesh ka baais nahi hoti. ziyada tar larkiyon ko 16 se 18 saal ki umar mein baqaidagi se mahvari anay lagti hai .",,
,,,mujhe kaise pata chalega meri mahwari ka khoon behna shuru hogaya hai,"aap ke mahvari ka asal bahao ziyada mehsoos nahi hota jab yeh ho raha hai. imkanaat hain, aap ko yeh mehsoos bhi nahi hoga ke yeh bahar aata hai. jab aap waqai apni mahvari shuru karte hain, to aap ko apne private hissay mein kuch nami mehsoos hosakti hai - yeh aap ke zair jama par khoon ke chand dhabbon ki wajah se ho sakta hai .",,
,,,khoon kitne dino tak aata hai,"aap ki mahwaari 3 se 8 din ke darmiyan reh sakti hai, lekin yeh aam tor par taqreeban 5 din tak jari rahay gi. khoon behna pehlay 2 dinon mein sab se ziyada hota hai .",,
,,,kya pre menstrual syndrome sirf baatein hai ya sach mai hota hai?,"jee haan, PMS ( premenstrual syndrome ) koi afsana nahi hai! 10 mein se 8 khawateen ko mahana mahvari shuru honay se kuch der pehlay kuch takleef hoti hai. yeh alamaat cycle ki hormonal tabdeelion ki wajah se hoti hain aur bohat si khawateen ke liye yeh itni shadeed hoti hain ke un ki roz marrah ki zindagi par assar parta hai zaati aur kaam ke dono pehluo mein. .",,
,,,aur kya mahvari se mera wazan kam ya zyada hosakta hai?,"aap ka wazan harmons ke utaar charhao, pani ko barqarar rakhnay, snacking aur mahvari ke dard ki wajah se werzish nah karne se mutasir ho sakta hai. aap ka wazan 1 se 2 klov ho sakta hai jo aam tor par chand dinon mein khatam ho jata hai .",,
,,,mujhe apne mahwaari ke dard ko kam karna hai,"mahvari ke dard aur dard ko kam karne ke liye aap darj zail cheeze aazma satke hain : –apne pait ya kamar ke nichale hissay par hating pad rakhna, ya garam ghusal karna. dard aap ki mahvari ka aik khobsorat mayaari hissa hai. lekin agar aap ki mahvari ka dard itna takleef da hai ke aap roz marrah ki zindagi mein hissa nahi le satke to barah karam apne dr se rujoo karen .",,
,,,meri mahwaari waqt pe kyun nahi aati,"aap ki mahvari be qaida hai agar yeh 21 din se ziyada kasrat se aati hai, ya aap ki mahvari ke darmiyan 35 din ya is se ziyada guzar jatay hain .",,
,,,aisi kya cheezain hai jo mujhe mahwaari mai nahi karna chahiye,mahvari ke douran din bhar aik hi sanitary numeral pahannay ya khana chorney aur junk food khanay se parhaiz karna chahiye .,,
,,,mujhe khoon jama karne keliye kya cheezain istemaal karna chahiye meri madad karein,aap inhen qareebi stor se khareed satke hain ya daraz ke zariye online order kar satke hain. is ka link yeh hai :  https://www.daraz.pk/catalog/?q=pads&_keyori=ss&from=input&spm=a2a0e.searchlist.search.go.8c6029b8wWUnZl ,,
,,,mujhe abhi sanitary products kahaan se milegi,aap inhen qareebi stor se khareed satke hain ya daraz ke zariye online order kar satke hain. is ka link yeh hai :  https://www.daraz.pk/catalog/?q=pads&_keyori=ss&from=input&spm=a2a0e.searchlist.search.go.8c6029b8wWUnZl ,,
,,,haiz ko itni buri cheez kyun samjhi jaati hai,"samaji mamnooa aur sanfi daqyanoosi tasawurat ki wajah se jo mahvari ko ganda qarar dete hain, bohat se log haiz ka tajurbah sharminda tabeer karte hain aur apni mahvari ki sehat ko mehfooz tareeqay se munazzam karne ke liye darkaar wasail tak rasai ke baghair .",,
,,,kya waqayi mahvaari ka aana buri baat hai?,"samaji mamnooa aur sanfi daqyanoosi tasawurat ki wajah se jo mahvari ko ganda qarar dete hain, bohat se log haiz ka tajurbah sharminda tabeer karte hain aur apni mahvari ki sehat ko mehfooz tareeqay se munazzam karne ke liye darkaar wasail tak rasai ke baghair .",,
,,,mahvari mai hum apna safayi ka khayal kaise rakh sakte hai?,aap ko apne period protection ko baqaidagi se tabdeel karna chahiye aur apne labial area ko baqaidagi se dhona chahiye. aap ko apni istemaal shuda muddat ki masnoaat ko bhi hifzaan sehat ke sath thikaane lagana chahiye .,,
,,,haiz ke doran mujhe apni safayi ka khayal kaise rakhna chahiye,aap ko apne period protection ko baqaidagi se tabdeel karna chahiye aur apne labial area ko baqaidagi se dhona chahiye. aap ko apni istemaal shuda muddat ki masnoaat ko bhi hifzaan sehat ke sath thikaane lagana chahiye .,,
,,,hormonal adam tawazun/imbalance be qaida mahvaari se alag kaise hai,"hormonal adam tawazun/imbalance ki mukhtalif alamaat hain jin mein bhaari ya be qaida mahvari, balon ka patla hona ya girna, wazan barhna ya wazan kam hona, raat ko paseena aana aur bohat kuch .",,