Intent,Response,Relevance,,Index,
I am scared of talking about periods,It is understandable. But you do not need to be scared while sharing with me. Anything that you say is safe with me. I will not share it with anyone.,1,,General Qs,
"So, can I share anything about my periods with you",Yes you can! Please share any menstruation related query or problem that you have.,1,,Period Qs,
Why do women have periods?,"A period happens because of changes in hormones in the body. Hormones are chemical messengers. The ovaries release the female hormones estrogen and progesterone . These hormones cause the lining of the uterus (or womb) to build up. The built-up lining is ready for a fertilized egg to attach to and start developing. If there is no fertilized egg, the lining breaks down and bleeds. Then the same process happens all over again.",1,,,
What are the symptoms of periods?,"Before or during periods you can have the following symptoms Bloating, cramps, constipation, diarrhoea, Skin acne, Vaginal discharge, Headache, Cravings, Moods Swings, Headache, Tender breasts, Back pain",1,,,1
Why is it important to take care of yourself during menstruation?,"By taking care of menstruation you can avoid all these problems. These problems include Urinary tract infection, fear of spotting, Rashes, Anxiety, Bad odour, Infertility, Bad performance at work.",1,,,1
How can I take care of my hygeine during periods," It is important to wash your hands before and after changing your pad/cloth. You can use soap, handwash, sanitizer or handwash in order to do it. It is also important to wash your private parts with water before changing your pad every single time.",1,,,
Can I shower on the first day of menstruation?,You can shower from the first day till the last,1,,,
Can I shower during menstruation,You can shower from the first day till the last,1,,,
Can I eat foods like tamarind and curd during menstruation or will they disturb my flow?,Food does not have anything to do with your flow!,1,,,
Can I go near or touch plants during my periods?,Yes you can!,1,,,
Should I sleep in a different room when menstruating,Menstruation is not contagious and causes no harm to anyone in the same room,1,,,
Does physical activity distrub the menstrual flow,"No it does not. Infact, some excercise and sports can actuslly relieve period pain",1,,,
Can I exercise during periods,"Of course! You can take on whatever sport you love! Run, bike, dance, rock climb! These are just some of the so-called strenuous activities you can absolutely do when you have your period. Your period is not a sickness and you don’t need to rest or take it easy. In fact, healthcare professionals recommend being active as a way to reduce those awful cramps.",1,,,
Can I use a cloth for menstruation,We don’t recommend using kapra but if using a cloth pad hygienically is okay.,1,,,